직업명,설명,link_skill,skill_name,skill_description
히어로,전투의 극의,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODJC.png,인빈서블 빌리프(히어로),
팔라딘,성전사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODJD.png,인빈서블 빌리프(팔라딘),
다크나이트,어둠과 계약한 창기사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODJE.png,인빈서블 빌리프(다크나이트),
소울마스터,고결한 빛의 기사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFOCLHODJF.png,시그너스 블레스(전사),
미하일,여제의 기사단장,https://open.api.nexon.com/static/maplestory/SkillIcon/KFKCLHPDNE.png,빛의 수호,
블래스터,연격의 마스터,https://open.api.nexon.com/static/maplestory/SkillIcon/KFMCLHOBLH.png,스피릿 오브 프리덤(전사),
데몬슬레이어,어둠의 복수자,https://open.api.nexon.com/static/maplestory/SkillIcon/KFMCLGOANC.png,데몬스 퓨리,
데몬어벤져,분노의 복수자,https://open.api.nexon.com/static/maplestory/SkillIcon/KFMCLGODIB.png,와일드 레이지지,
아란,폴암의 영웅,https://open.api.nexon.com/static/maplestory/SkillIcon/KFNCLHODFH.png,콤보킬 어드밴티지,
카이저,노바의 수호자,https://open.api.nexon.com/static/maplestory/SkillIcon/KFJCLHODOC.png,아이언 윌,
아델,검의 지휘자,https://open.api.nexon.com/static/maplestory/SkillIcon/KEKCLFODIB.png,노블레스,
제로,신의 아이,https://open.api.nexon.com/static/maplestory/SkillIcon/KEPCLHODLB.png,륀느의 축복,
"아크메이지(불,독)",화염과 맹독의 마법사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODJF.png,"임피리컬 널리지(아크메이지 불, 독)",
"아크메이지(썬,콜)",냉기와 전류의 마법사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODJG.png,"임피리컬 널리지(아크메이지 썬, 콜)",
비숍,자애와 복수의 마법사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODJH.png,임피리컬 널리지(비숍),
플레임위자드,순수한 화염의 기사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFOCLHODJG.png,시그너스 블레스(마법사),
배틀메이지,최전선의 마법사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFMCLHOBLE.png,스피릿 오브 프리덤(마법사),
에반,드래곤 마스터,https://open.api.nexon.com/static/maplestory/SkillIcon/KFNCLGODFE.png,룬 퍼시스턴스,
루미너스,빛과 어둠의 마법사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFNCLDODNI.png,퍼미에이트,
일리움,광휘의 날개,https://open.api.nexon.com/static/maplestory/SkillIcon/KEKCLHOBNH.png,전투의 흐름,
라라,낭만풍수사,https://open.api.nexon.com/static/maplestory/SkillIcon/KEJCLGOBMB.png,자연의 벗,
키네시스,이세계의 초능력자,https://open.api.nexon.com/static/maplestory/SkillIcon/KELCLHODFC.png,판단,
보우마스터,속사의 정점,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODJI.png,어드벤쳐러 큐리어스(보우마스터),
신궁,백발백중 저격수,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODJJ.png,어드벤쳐러 큐리어스(신궁),
패스파인더,고대 유물의 주인,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODKA.png,어드벤쳐러 큐리어스(패스파인더),
윈드브레이커,자유로운 바람의 기사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFOCLHODJH.png,시그너스 블레스(궁수),
와일드헌터,야성의 주인,https://open.api.nexon.com/static/maplestory/SkillIcon/KFMCLHOBLF.png,스피릿 오브 프리덤(궁수),
메르세데스,엘프의 왕,https://open.api.nexon.com/static/maplestory/SkillIcon/KFNCLFPANA.png,엘프의 축복,
카인,어둠의 추격자,https://open.api.nexon.com/static/maplestory/SkillIcon/KFJCLEODIB.png,프라이어 프리퍼레이션,
나이트로드,그림자 속에 숨은 존재,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODKB.png,시프 커닝(나이트로드),
섀도어,어둠의 비수,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODKC.png,시프 커닝(섀도어),
듀얼블레이더,숨겨진 각인,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODKD.png,시프 커닝(듀얼블레이드),
나이트워커,비정한 어둠의 기사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFOCLHODJI.png,시그너스 블레스(도적),
제논,하이브리드 전투병기,https://open.api.nexon.com/static/maplestory/SkillIcon/KFMCLFODPD.png,하이브리드 로직,
팬텀,영웅이 된 괴도,https://open.api.nexon.com/static/maplestory/SkillIcon/KFNCLEODME.png,데들리 인스팅트,
카데나,해방의 사슬,https://open.api.nexon.com/static/maplestory/SkillIcon/KFJCLFODNI.png,인텐시브 인썰트,
칼리,복수의 바람,https://open.api.nexon.com/static/maplestory/SkillIcon/KEKCLEODIB.png,이네이트 기프트,
호영,천방지축 도사,https://open.api.nexon.com/static/maplestory/SkillIcon/KEJCLHOBMB.png,자신감,
바이퍼,바다와 공명하는 힘,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODKE.png,파이렛 블레스(바이퍼),
캡틴,함선 위의 카리스마,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHODKF.png,파이렛 블레스(캡틴),
캐논마스터,호쾌한 포격,https://open.api.nexon.com/static/maplestory/SkillIcon/KFPCLHOANA.png,파이렛 블레스(캐논슈터),
스트라이커,바다와 번개의 기사,https://open.api.nexon.com/static/maplestory/SkillIcon/KFOCLHODJF.png,시그너스 블레스(해적),
메카닉,해방의 마이스터,https://open.api.nexon.com/static/maplestory/SkillIcon/KFMCLHOBLG.png,스피릿 오브 프리덤(해적),
제논,하이브리드 전투병기,https://open.api.nexon.com/static/maplestory/SkillIcon/KFMCLFODPD.png,하이브리드 로직,
은월,잊혀진 영웅,https://open.api.nexon.com/static/maplestory/SkillIcon/KFNCLCODEG.png,구사 일생,
엔젤릭버스터,전장의 아이돌,https://open.api.nexon.com/static/maplestory/SkillIcon/KFJCLGPDNJ.png,소울 컨트랙트,
아크,심연의 귀환자,https://open.api.nexon.com/static/maplestory/SkillIcon/KEKCLGODIB.png,무아,
