ocid,character_name,date,ability_grade,remain_fame,preset_no,ability_preset_1_ability_preset_grade,ability_preset_1_ability_info,ability_preset_2_ability_preset_grade,ability_preset_2_ability_info,ability_preset_3_ability_preset_grade,ability_preset_3_ability_info,list_field,list_index,ability_info_ability_no,ability_info_ability_grade,ability_info_ability_value
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,레전드리,4978737,3,레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""공격력 21 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""아이템 드롭률 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""메소 획득량 14% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""메소 획득량 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""아이템 드롭률 15% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""일반 몬스터 공격 시 데미지 7% 증가""}]",ability_info,0,1,레전드리,메소 획득량 20% 증가
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,레전드리,4978737,3,레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""공격력 21 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""아이템 드롭률 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""메소 획득량 14% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""메소 획득량 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""아이템 드롭률 15% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""일반 몬스터 공격 시 데미지 7% 증가""}]",ability_info,1,2,유니크,아이템 드롭률 15% 증가
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,레전드리,4978737,3,레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""공격력 21 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""아이템 드롭률 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""메소 획득량 14% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""메소 획득량 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""아이템 드롭률 15% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""일반 몬스터 공격 시 데미지 7% 증가""}]",ability_info,2,3,유니크,일반 몬스터 공격 시 데미지 7% 증가
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,레전드리,9999999,1,레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""아이템 드롭률 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""메소 획득량 15% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""일반 몬스터 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""버프 스킬의 지속 시간 38% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""스킬 사용 시 20% 확률로 재사용 대기시간이 미적용""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""보스 몬스터 공격 시 데미지 10% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",ability_info,0,1,레전드리,아이템 드롭률 20% 증가
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,레전드리,9999999,1,레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""아이템 드롭률 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""메소 획득량 15% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""일반 몬스터 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""버프 스킬의 지속 시간 38% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""스킬 사용 시 20% 확률로 재사용 대기시간이 미적용""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""보스 몬스터 공격 시 데미지 10% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",ability_info,1,2,유니크,메소 획득량 15% 증가
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,레전드리,9999999,1,레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""아이템 드롭률 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""메소 획득량 15% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""일반 몬스터 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""버프 스킬의 지속 시간 38% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""스킬 사용 시 20% 확률로 재사용 대기시간이 미적용""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""보스 몬스터 공격 시 데미지 10% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",ability_info,2,3,유니크,일반 몬스터 공격 시 데미지 8% 증가
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,레전드리,9999999,1,레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""공격력 21 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""버프 스킬의 지속 시간 38% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""아이템 드롭률 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""메소 획득량 15% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""일반 몬스터 공격 시 데미지 8% 증가""}]",ability_info,0,1,레전드리,보스 몬스터 공격 시 데미지 20% 증가
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,레전드리,9999999,1,레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""공격력 21 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""버프 스킬의 지속 시간 38% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""아이템 드롭률 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""메소 획득량 15% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""일반 몬스터 공격 시 데미지 8% 증가""}]",ability_info,1,2,유니크,공격력 21 증가
523b655489c8151b353c89390f256590,손길,2026-01-05T00:00+09:00,레전드리,9999999,1,레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""공격력 21 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""버프 스킬의 지속 시간 38% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""아이템 드롭률 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""메소 획득량 15% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""일반 몬스터 공격 시 데미지 8% 증가""}]",ability_info,2,3,유니크,상태 이상에 걸린 대상 공격 시 데미지 8% 증가
5077ade4a558a15749275b44421672ff,봉짱,2026-01-05T00:00+09:00,레전드리,4046284,3,레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""보스 몬스터 공격 시 데미지 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""공격력 21 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 8% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""스킬 사용 시 19% 확률로 재사용 대기시간이 미적용""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""보스 몬스터 공격 시 데미지 10% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""상태 이상에 걸린 대상 공격 시 데미지 7% 증가""}]",레전드리,"[{""ability_no"": ""1"", ""ability_grade"": ""레전드리"", ""ability_value"": ""아이템 드롭률 20% 증가""}, {""ability_no"": ""2"", ""ability_grade"": ""유니크"", ""ability_value"": ""일반 몬스터 공격 시 데미지 7% 증가""}, {""ability_no"": ""3"", ""ability_grade"": ""유니크"", ""ability_value"": ""메소 획득량 15% 증가""}]",ability_info,0,1,레전드리,아이템 드롭률 20% 증가
