ocid,character_name,date,list_field,list_index,set_effect_set_name,set_effect_total_set_count,set_effect_set_effect_info,set_effect_set_option_full
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,set_effect,0,파티 퀘스트  세트,1,[],"[{""set_count"": 2, ""set_option"": ""공격력  +4, 마력  +4, 파티퀘스트 경험치 3% 추가""}, {""set_count"": 3, ""set_option"": ""올스탯  +4, 공격력  +4, 마력  +4""}, {""set_count"": 4, ""set_option"": ""공격력  +4, 마력  +4, 파티퀘스트 경험치 6% 추가""}, {""set_count"": 5, ""set_option"": ""올스탯  +8, 공격력  +4, 마력  +4""}, {""set_count"": 6, ""set_option"": ""공격력  +4, 마력  +4, 파티퀘스트 경험치 9% 추가""}, {""set_count"": 7, ""set_option"": ""올스탯  +16, 공격력  +4, 마력  +4""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,set_effect,1,8th 워리어 세트,1,[],"[{""set_count"": 2, ""set_option"": ""방어력  +140""}, {""set_count"": 3, ""set_option"": ""최대 HP  +9%, 최대 MP  +9%, 일반 몬스터 공격 시 데미지  +2%""}, {""set_count"": 4, ""set_option"": ""STR  +9, 공격력  +9, 일반 몬스터 공격 시 데미지  +4%""}, {""set_count"": 5, ""set_option"": ""올스탯  +15, 방어력  +250, 일반 몬스터 공격 시 데미지  +6%, 몬스터 방어율 무시 +10%""}, {""set_count"": 6, ""set_option"": ""공격력  +10, 마력  +10, 일반 몬스터 공격 시 데미지  +8%, 몬스터 방어율 무시 +10%""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,set_effect,2,에테르넬 세트(전사),4,"[{""set_count"": 2, ""set_option"": ""최대 HP  +2500, 최대 MP  +2500, 공격력  +40, 마력  +40, 보스 몬스터 데미지 +10%""}, {""set_count"": 3, ""set_option"": ""올스탯  +50, 공격력  +40, 마력  +40, 방어력  +600, 보스 몬스터 데미지 +10%""}, {""set_count"": 4, ""set_option"": ""최대 HP  +15%, 최대 MP  +15%, 공격력  +40, 마력  +40, 보스 몬스터 데미지 +10%""}]","[{""set_count"": 2, ""set_option"": ""최대 HP  +2500, 최대 MP  +2500, 공격력  +40, 마력  +40, 보스 몬스터 데미지 +10%""}, {""set_count"": 3, ""set_option"": ""올스탯  +50, 공격력  +40, 마력  +40, 방어력  +600, 보스 몬스터 데미지 +10%""}, {""set_count"": 4, ""set_option"": ""최대 HP  +15%, 최대 MP  +15%, 공격력  +40, 마력  +40, 보스 몬스터 데미지 +10%""}, {""set_count"": 5, ""set_option"": ""공격력  +40, 마력  +40, 몬스터 방어율 무시 +20%""}, {""set_count"": 6, ""set_option"": ""공격력  +40, 마력  +40, 보스 몬스터 데미지 +15%""}, {""set_count"": 7, ""set_option"": ""올스탯  +50, 최대 HP  +2500, 최대 MP  +2500, 공격력  +40, 마력  +40, 보스 몬스터 데미지 +15%""}, {""set_count"": 8, ""set_option"": ""공격력  +40, 마력  +40, 보스 몬스터 데미지 +15%""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,set_effect,3,쁘띠 플로라 세트,3,"[{""set_count"": 1, ""set_option"": ""[블루밍 플로라 Lv.1] 스킬 사용 가능""}, {""set_count"": 2, ""set_option"": ""[블루밍 플로라 Lv.2] 스킬 사용 가능""}, {""set_count"": 3, ""set_option"": ""[블루밍 플로라 Lv.3] 스킬 사용 가능""}]","[{""set_count"": 1, ""set_option"": ""[블루밍 플로라 Lv.1] 스킬 사용 가능""}, {""set_count"": 2, ""set_option"": ""[블루밍 플로라 Lv.2] 스킬 사용 가능""}, {""set_count"": 3, ""set_option"": ""[블루밍 플로라 Lv.3] 스킬 사용 가능""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,set_effect,4,칠흑의 보스 세트,5,"[{""set_count"": 2, ""set_option"": ""올스탯  +10, 최대 HP  +250, 공격력  +10, 마력  +10, 보스 몬스터 데미지 +10%""}, {""set_count"": 3, ""set_option"": ""올스탯  +10, 최대 HP  +250, 공격력  +10, 마력  +10, 방어력  +250, 몬스터 방어율 무시 +10%""}, {""set_count"": 4, ""set_option"": ""올스탯  +15, 최대 HP  +375, 공격력  +15, 마력  +15, 크리티컬 데미지 +5%""}, {""set_count"": 5, ""set_option"": ""올스탯  +15, 최대 HP  +375, 공격력  +15, 마력  +15, 보스 몬스터 데미지 +10%""}]","[{""set_count"": 2, ""set_option"": ""올스탯  +10, 최대 HP  +250, 공격력  +10, 마력  +10, 보스 몬스터 데미지 +10%""}, {""set_count"": 3, ""set_option"": ""올스탯  +10, 최대 HP  +250, 공격력  +10, 마력  +10, 방어력  +250, 몬스터 방어율 무시 +10%""}, {""set_count"": 4, ""set_option"": ""올스탯  +15, 최대 HP  +375, 공격력  +15, 마력  +15, 크리티컬 데미지 +5%""}, {""set_count"": 5, ""set_option"": ""올스탯  +15, 최대 HP  +375, 공격력  +15, 마력  +15, 보스 몬스터 데미지 +10%""}, {""set_count"": 6, ""set_option"": ""올스탯  +15, 최대 HP  +375, 공격력  +15, 마력  +15, 몬스터 방어율 무시 +10%""}, {""set_count"": 7, ""set_option"": ""올스탯  +15, 최대 HP  +375, 공격력  +15, 마력  +15, 크리티컬 데미지 +5%""}, {""set_count"": 8, ""set_option"": ""올스탯  +15, 최대 HP  +375, 공격력  +15, 마력  +15, 보스 몬스터 데미지 +10%""}, {""set_count"": 9, ""set_option"": ""올스탯  +15, 최대 HP  +375, 공격력  +15, 마력  +15, 크리티컬 데미지 +5%""}, {""set_count"": 10, ""set_option"": ""올스탯  +20, 최대 HP  +500, 공격력  +20, 마력  +20, 보스 몬스터 데미지 +10%""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,set_effect,5,임모탈 마이스터 히어로 세트,2,"[{""set_count"": 2, ""set_option"": ""올스탯  +18, 공격력  +10""}]","[{""set_count"": 2, ""set_option"": ""올스탯  +18, 공격력  +10""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,set_effect,6,아케인셰이드 세트(전사),4,"[{""set_count"": 2, ""set_option"": ""공격력  +30, 마력  +30, 보스 몬스터 데미지 +10%""}, {""set_count"": 3, ""set_option"": ""공격력  +30, 마력  +30, 방어력  +400, 몬스터 방어율 무시 +10%""}, {""set_count"": 4, ""set_option"": ""올스탯  +50, 공격력  +35, 마력  +35, 보스 몬스터 데미지 +10%""}]","[{""set_count"": 2, ""set_option"": ""공격력  +30, 마력  +30, 보스 몬스터 데미지 +10%""}, {""set_count"": 3, ""set_option"": ""공격력  +30, 마력  +30, 방어력  +400, 몬스터 방어율 무시 +10%""}, {""set_count"": 4, ""set_option"": ""올스탯  +50, 공격력  +35, 마력  +35, 보스 몬스터 데미지 +10%""}, {""set_count"": 5, ""set_option"": ""최대 HP  +2000, 최대 MP  +2000, 공격력  +40, 마력  +40, 보스 몬스터 데미지 +10%""}, {""set_count"": 6, ""set_option"": ""최대 HP  +30%, 최대 MP  +30%, 공격력  +30, 마력  +30""}, {""set_count"": 7, ""set_option"": ""공격력  +30, 마력  +30, 몬스터 방어율 무시 +10%""}]"
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,set_effect,7,아메지스트 고딕 세트,5,"[{""set_count"": 3, ""set_option"": ""올스탯  +5, 최대 HP  +250, 최대 MP  +250, 공격력  +3, 마력  +3""}, {""set_count"": 5, ""set_option"": ""올스탯  +10, 최대 HP  +500, 최대 MP  +500, 공격력  +7, 마력  +7""}]","[{""set_count"": 3, ""set_option"": ""올스탯  +5, 최대 HP  +250, 최대 MP  +250, 공격력  +3, 마력  +3""}, {""set_count"": 5, ""set_option"": ""올스탯  +10, 최대 HP  +500, 최대 MP  +500, 공격력  +7, 마력  +7""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,set_effect,0,마스터 세라핌 세트,5,"[{""set_count"": 3, ""set_option"": ""올스탯  +5, 최대 HP  +250, 최대 MP  +250, 공격력  +3, 마력  +3""}, {""set_count"": 5, ""set_option"": ""올스탯  +10, 최대 HP  +500, 최대 MP  +500, 공격력  +7, 마력  +7, [세라핌 윙 라이딩] 스킬 사용 가능""}]","[{""set_count"": 3, ""set_option"": ""올스탯  +5, 최대 HP  +250, 최대 MP  +250, 공격력  +3, 마력  +3""}, {""set_count"": 5, ""set_option"": ""올스탯  +10, 최대 HP  +500, 최대 MP  +500, 공격력  +7, 마력  +7, [세라핌 윙 라이딩] 스킬 사용 가능""}]"
71e64ae651fb6cd446eb88774ee9b1ac,춥고,2026-01-05T00:00+09:00,set_effect,1,마이스터 세트,1,[],"[{""set_count"": 2, ""set_option"": ""최대 HP  +10%, 최대 MP  +10%""}, {""set_count"": 3, ""set_option"": ""공격력  +40, 마력  +40""}, {""set_count"": 4, ""set_option"": ""보스 몬스터 데미지 +20%""}]"
