ocid,character_name,date,character_class,use_preset_no,use_available_hyper_stat,hyper_stat_preset_1_remain_point,hyper_stat_preset_2_remain_point,hyper_stat_preset_3_remain_point,list_field,list_index,hyper_stat_preset_1_stat_type,hyper_stat_preset_1_stat_point,hyper_stat_preset_1_stat_level,hyper_stat_preset_1_stat_increase,hyper_stat_preset_2_stat_type,hyper_stat_preset_2_stat_point,hyper_stat_preset_2_stat_level,hyper_stat_preset_2_stat_increase,hyper_stat_preset_3_stat_type,hyper_stat_preset_3_stat_point,hyper_stat_preset_3_stat_level,hyper_stat_preset_3_stat_increase
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,0,STR,85.0,8.0,힘 240 증가,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,1,DEX,40.0,6.0,민첩성 180 증가,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,2,INT,,0.0,,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,3,LUK,,0.0,,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,4,HP,,0.0,,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,5,MP,,0.0,,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,6,DF/TF,40.0,6.0,최대 데몬 포스/타임 포스 60 증가,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,7,크리티컬 확률,,0.0,,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,8,크리티컬 데미지,150.0,10.0,크리티컬 데미지 10% 증가,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,9,방어율 무시,,0.0,,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,10,데미지,150.0,10.0,데미지 30% 증가,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,11,보스 몬스터 공격 시 데미지 증가,,0.0,,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,12,상태 이상 내성,,0.0,,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,13,공격력/마력,60.0,7.0,공격력과 마력 21 증가,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,14,획득 경험치,550.0,15.0,획득 경험치 10.0% 증가,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,15,아케인포스,,0.0,,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_1,16,일반 몬스터 공격 시 데미지 증가,550.0,15.0,일반 몬스터 공격 시 데미지 55% 증가,,,,,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_2,0,,,,,STR,15.0,4.0,힘 120 증가,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_2,1,,,,,DEX,3.0,2.0,민첩성 60 증가,,,,
f1694c334dcf895eb519cb69ebd8624f,계란,2026-01-05T00:00+09:00,제로,1,1626,1,3,3,hyper_stat_preset_2,2,,,,,INT,,0.0,,,,,
