날짜,순위,도장층수,기록시간(초),캐릭터명,월드,직업군,세부직업,레벨,기록시간(분:초)
2025-01-05,1,96,899,미술부,루나,초월자,제로,290,14:59
2025-01-05,2,95,882,신기술,루나,레지스탕스,메카닉,291,14:42
2025-01-05,3,95,890,을가,루나,카이저,,293,14:50
2025-01-05,4,94,895,소양을,루나,프렌즈 월드,키네시스,291,14:55
2025-01-05,5,93,876,단깡,루나,은월,,292,14:36
2025-01-05,6,93,879,먹어봐야알지,루나,마법사,"아크메이지(불,독)",291,14:39
2025-01-05,7,93,880,살벌,루나,도적,듀얼블레이더,291,14:40
2025-01-05,8,93,883,두그릇,루나,초월자,제로,293,14:43
2025-01-05,9,93,889,토하,루나,레지스탕스,블래스터,294,14:49
2025-01-05,10,93,900,춥고,루나,아크,,294,15:00
2025-01-05,11,92,872,신강율,루나,해적,바이퍼,293,14:32
2025-01-05,12,92,885,구함,루나,도적,섀도어,290,14:45
2025-01-05,13,91,870,우택,루나,레지스탕스,데몬어벤져,290,14:30
2025-01-05,14,91,871,베르,루나,도적,나이트로드,293,14:31
2025-01-05,15,91,883,징스,루나,전사,히어로,292,14:43
2025-01-05,16,91,897,망초,루나,에반,,292,14:57
2025-01-05,17,90,868,원쯔,루나,마법사,"아크메이지(불,독)",292,14:28
2025-01-05,18,90,869,대세지,루나,레지스탕스,데몬어벤져,290,14:29
2025-01-05,19,90,878,허경영,루나,레지스탕스,메카닉,296,14:38
2025-01-05,20,90,886,봉짱,루나,초월자,제로,291,14:46
2025-01-05,21,89,789,콩숲,루나,도적,섀도어,289,13:09
2025-01-05,22,89,834,잭페이트,루나,팬텀,,292,13:54
2025-01-05,23,89,848,청순해,루나,루미너스,,292,14:08
2025-01-05,24,89,888,마옥석,루나,도적,듀얼블레이더,290,14:48
2025-01-05,25,89,889,파카츄츄,루나,도적,섀도어,291,14:49
2025-01-05,26,89,891,채재혁,루나,호영,,289,14:51
2025-01-05,27,89,897,웬리,루나,전사,다크나이트,293,14:57
2025-01-05,28,88,880,윈브안개윤슬,루나,기사단,윈드브레이커,293,14:40
2025-01-05,29,88,881,첨왜,루나,도적,듀얼블레이더,286,14:41
2025-01-05,30,88,881,한도,루나,팬텀,,290,14:41
2025-01-05,31,88,885,콥초,루나,아델,,293,14:45
2025-01-05,32,88,888,미숟,루나,마법사,"아크메이지(불,독)",293,14:48
2025-01-05,33,88,891,이영지,루나,엔젤릭버스터,,294,14:51
2025-01-05,34,88,899,린티드,루나,아델,,294,14:59
2025-01-05,35,87,865,움푹,루나,마법사,비숍,292,14:25
2025-01-05,36,87,874,매숭이,루나,해적,캐논마스터,292,14:34
2025-01-05,37,87,878,퍼플색매화,루나,궁수,패스파인더,293,14:38
2025-01-05,38,87,879,emmet7141,루나,마법사,비숍,293,14:39
2025-01-05,39,87,887,슈뜨델,루나,아델,,290,14:47
2025-01-05,40,87,889,사계절벚꽃,루나,해적,캡틴,288,14:49
2025-01-05,41,87,890,간부,루나,카이저,,289,14:50
2025-01-05,42,87,890,주꾸밍,루나,마법사,비숍,292,14:50
2025-01-05,43,87,893,성견,루나,프렌즈 월드,키네시스,291,14:53
2025-01-05,44,87,896,현동,루나,도적,듀얼블레이더,291,14:56
2025-01-05,45,87,896,뭉망치,루나,전사,팔라딘,289,14:56
2025-01-05,46,87,897,흰스머프,루나,레지스탕스,데몬어벤져,290,14:57
2025-01-05,47,87,900,대사초,루나,마법사,"아크메이지(불,독)",291,15:00
2025-01-05,48,86,876,찐컴벳,루나,전사,팔라딘,290,14:36
2025-01-05,49,86,880,벌브,루나,기사단,스트라이커,287,14:40
2025-01-05,50,86,885,총액,루나,도적,나이트로드,290,14:45
2025-01-05,51,86,892,닭다리가져,루나,레지스탕스,블래스터,290,14:52
2025-01-05,52,86,894,검성남짱,루나,전사,히어로,295,14:54
2025-01-05,53,86,895,교사,루나,아델,,292,14:55
